Code,Name,area_km2,area_km2_source,area_km2_source_url,population,population_date,population_source,population_source_url
AU_VI,Victoria,"227,416",ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/,"5,768,600",Sep 2014,ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/
AU_WA,Western Australia,"2,529,875",ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/,"2,535,700",Sep 2014,ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/
,,,,,,,,
Brazilian States,,,,,,,,
BR_AC,Acre,"152,581.40",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"776,463",July 2013,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_AL,Alagoas,"27,767.70",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"3,300,938",July 2014,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_AP,Amapá,"142,814.60",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"734,995",July 2015,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_AM,Amazonas,"1,570,745.70",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"3,807,923",July 2016,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_BA,Bahia,"564,692.70",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"15,044,127",July 2017,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_CE,Ceará,"148,825.60",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"8,778,575",July 2018,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_DF,Distrito Federal,"5,801.90",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"3,839,363",July 2019,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_ES,Espírito Santo,"46,077.50",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"2,789,761",July 2020,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_GO,Goiás,"340,086.70",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"6,434,052",July 2021,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_MA,Maranhão,"331,983.30",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"6,794,298",July 2022,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_MT,Mato Grosso,"903,357.90",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"3,182,114",July 2023,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_MS,Mato Grosso do Sul,"357,125.00",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"2,587,267",July 2024,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_MG,Minas Gerais,"586,528.30",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"20,593,366",July 2025,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_PA,Pará,"1,247,689.50",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"7,969,655",July 2026,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_PB,Paraíba,"56,439.80",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"3,914,418",July 2027,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_PR,Paraná,"199,314.90",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"10,997,462",July 2028,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_PE,Pernambuco,"98,311.60",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"9,208,551",July 2029,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_PI,Piauí,"251,529.20",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"3,184,165",July 2030,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_RJ,Rio de Janeiro,"43,696.10",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"16,369,178",July 2031,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_RN,Rio Grande do Norte,"52,796.80",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"3,373,960",July 2032,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_RS,Rio Grande do Sul,"281,748.50",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"11,164,050",July 2033,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_RO,Rondônia,"237,576.20",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"1,728,214",July 2034,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_RR,Roraima,"224,299.00",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"488,072",July 2035,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
BR_SC,Santa Catarina,"95,346.20",IBGE,http://www.ibge.gov.br/home/geociencias/areaterritorial/principal.shtm,"6,634,250",July 2036,IBGE,http://www.ibge.gov.br/home/estatistica/populacao/estimativa2013/estimativa_dou.shtm
